Time_BR,BR,Mean_RR_B,STD_RR_B,Mean_HR_B,STD_HR_B,Min_HR_B,Max_HR_B,RMSSD_B,NNxx_B,pNNxx_B,Power_VLF_B,Power_LF_B,Power_HF_B,Power_Total_B,LF_by_HF_B,Peak_VLF_B,Peak_LF_B,Peak_HF_B,Fraction_LF_B,Fraction_HF_B
60.0,15.0,5035.714285714285,1818.117999807628,11.914893617021278,4.017947678941389,6.289308176100629,18.51851851851852,2890.653373041625,13,92.85714285714286,1,1,1,3,1.0,0.03125,0.046875,0.15625,50.0,50.0
75.0,15.0,5052.857142857143,2018.4804347097652,11.874469889737064,3.9447656114057303,6.369426751592357,18.867924528301888,2749.394338898884,13,92.85714285714286,1,1,1,3,1.0,0.03125,0.046875,0.171875,50.0,50.0
90.0,16.0,4620.0,1511.0790846279356,12.987012987012987,2.942518895424046,6.289308176100629,17.54385964912281,1808.9065363204527,14,93.33333333333333,1,1,1,3,1.0,0.015625,0.046875,0.171875,50.0,50.0
105.0,18.0,3945.8823529411766,760.2094047697292,15.20572450805009,3.0294217309691795,11.363636363636363,20.833333333333332,1273.2340711746604,15,88.23529411764706,1,1,1,3,1.0,0.015625,0.078125,0.15625,50.0,50.0
120.0,16.0,4528.0,821.1796392994653,13.250883392226148,2.252514256261081,9.25925925925926,16.949152542372882,1109.0150069833526,14,93.33333333333333,1,1,1,3,1.0,0.03125,0.046875,0.15625,50.0,50.0
135.0,17.0,4477.5,828.9111834207571,13.40033500837521,2.205544556267226,8.771929824561404,16.949152542372882,1213.2271015766175,15,93.75,1,1,1,3,1.0,0.03125,0.046875,0.15625,50.0,50.0
150.0,16.0,4456.0,606.9464556285011,13.464991023339318,1.7483690465574329,10.0,16.666666666666668,839.2343449325019,14,93.33333333333333,1,1,1,3,1.0,0.03125,0.046875,0.15625,50.0,50.0
165.0,15.0,5078.571428571428,1333.105167552471,11.814345991561181,2.6707168663468908,7.462686567164179,16.39344262295082,1193.984924527944,11,78.57142857142857,1,1,1,3,1.0,0.015625,0.109375,0.15625,50.0,50.0
180.0,15.0,4924.285714285715,1253.5476188215034,12.184508268059181,2.6973632535518783,7.575757575757576,17.54385964912281,1419.566564402399,13,92.85714285714286,1,1,1,3,1.0,0.015625,0.046875,0.15625,50.0,50.0
195.0,14.0,5344.615384615385,1718.3740766944843,11.226252158894646,3.9163484706773057,7.142857142857143,20.833333333333332,2641.1361191729593,12,92.3076923076923,1,1,1,3,1.0,0.015625,0.078125,0.15625,50.0,50.0
210.0,15.0,4894.285714285715,1313.6955196571794,12.259194395796847,3.082771409248206,8.064516129032258,18.51851851851852,1741.5112800270742,13,92.85714285714286,1,1,1,3,1.0,0.03125,0.0625,0.15625,50.0,50.0
225.0,16.0,4608.0,1288.7575412000506,13.020833333333334,3.686504355203894,7.936507936507937,20.408163265306122,2002.5983121934364,14,93.33333333333333,1,1,1,3,1.0,0.015625,0.0625,0.203125,50.0,50.0
240.0,15.0,4731.428571428572,1076.6273870807138,12.681159420289855,3.158326025820455,9.00900900900901,20.408163265306122,1767.0836469688172,13,92.85714285714286,1,1,1,3,1.0,0.03125,0.046875,0.15625,50.0,50.0
255.0,17.0,4301.25,1382.72319626887,13.949433304272015,3.860600100504791,7.462686567164179,20.833333333333332,2286.4120363574016,15,93.75,1,1,1,3,1.0,0.015625,0.0625,0.15625,50.0,50.0
270.0,16.0,4608.0,892.4214251125978,13.020833333333334,2.6073358405144678,9.70873786407767,18.181818181818183,1421.669039243261,14,93.33333333333333,1,1,1,3,1.0,0.015625,0.09375,0.15625,50.0,50.0
285.0,17.0,4462.5,945.565307104697,13.445378151260504,2.732102779002058,9.090909090909092,18.181818181818183,1622.4426029909348,15,93.75,1,1,1,3,1.0,0.03125,0.09375,0.15625,50.0,50.0
