Time_BR,BR,Mean_RR_B,STD_RR_B,Mean_HR_B,STD_HR_B,Min_HR_B,Max_HR_B,RMSSD_B,NNxx_B,pNNxx_B,Power_VLF_B,Power_LF_B,Power_HF_B,Power_Total_B,LF_by_HF_B,Peak_VLF_B,Peak_LF_B,Peak_HF_B,Fraction_LF_B,Fraction_HF_B
60.0,15.0,4581.428571428572,804.2197384764329,13.096351730589335,2.189112325535728,9.900990099009901,16.129032258064516,906.896652580402,12,85.71428571428571,1,1,1,3,1.0,0.03162055335968379,0.09486166007905138,0.15810276679841895,50.0,50.0
75.0,15.0,4894.285714285715,1257.0811673175642,12.259194395796847,3.11259894358003,7.575757575757576,18.181818181818183,1752.6068495902807,13,92.85714285714286,1,1,1,3,1.0,0.03125,0.046875,0.15625,50.0,50.0
90.0,15.0,4714.285714285715,1461.74902226122,12.727272727272727,4.039647343728864,7.751937984496124,21.27659574468085,2151.071289452698,13,92.85714285714286,1,1,1,3,1.0,0.03125,0.046875,0.15625,50.0,50.0
105.0,15.0,4804.285714285715,1553.6349740698622,12.488849241748438,4.515774453798553,7.518796992481203,21.27659574468085,1918.3406290934802,13,92.85714285714286,1,1,1,3,1.0,0.03125,0.0625,0.15625,50.0,50.0
120.0,15.0,4757.142857142857,1821.9276627142103,12.612612612612613,4.219655480497842,6.211180124223603,20.833333333333332,2662.5609418810996,13,92.85714285714286,1,1,1,3,1.0,0.03125,0.078125,0.15625,50.0,50.0
135.0,14.0,5192.307692307692,1798.2476677466352,11.555555555555555,3.5998758928009402,5.9880239520958085,18.181818181818183,1991.9337338375492,12,92.3076923076923,1,1,1,3,1.0,0.03125,0.046875,0.15625,50.0,50.0
150.0,17.0,4447.5,1123.874436936796,13.490725126475548,3.2794276320988156,8.333333333333334,20.0,1618.6661175177542,15,93.75,1,1,1,3,1.0,0.03125,0.046875,0.15625,50.0,50.0
165.0,15.0,5018.571428571428,1677.0290786424202,11.955593509820666,3.7725522829601124,6.451612903225806,21.27659574468085,2509.1524772014463,13,92.85714285714286,1,1,1,3,1.0,0.03125,0.046875,0.15625,50.0,50.0
180.0,12.0,5678.181818181818,2081.3361887447477,10.566762728146013,4.102316553878266,6.097560975609756,17.857142857142858,2777.4880737817757,10,90.9090909090909,1,1,1,3,1.0,0.0,0.04878048780487805,0.1788617886178862,50.0,50.0
195.0,16.0,4652.0,1813.663695396696,12.89767841788478,4.821151303151676,7.194244604316546,21.27659574468085,2907.679487151223,14,93.33333333333333,1,1,1,3,1.0,0.03125,0.078125,0.171875,50.0,50.0
210.0,16.0,4784.0,1471.565153161762,12.54180602006689,4.122899226354939,8.064516129032258,20.0,2579.5514560259726,14,93.33333333333333,1,1,1,3,1.0,0.0,0.09375,0.15625,50.0,50.0
225.0,15.0,4975.714285714285,1758.5899964204857,12.058570198105082,5.06099160099328,7.8125,21.27659574468085,2372.0293162022845,13,92.85714285714286,1,1,1,3,1.0,0.015625,0.0625,0.171875,50.0,50.0
240.0,15.0,4915.714285714285,1703.0255190006246,12.205754141238014,4.475323252922683,8.0,21.27659574468085,2389.1292266301675,13,92.85714285714286,1,1,1,3,1.0,0.015625,0.078125,0.15625,50.0,50.0
255.0,13.0,5660.0,1505.8552387264854,10.60070671378092,3.2912858261944526,7.936507936507937,17.24137931034483,2216.0899226914385,11,91.66666666666667,1,1,1,3,1.0,0.03125,0.046875,0.15625,50.0,50.0
270.0,15.0,4830.0,1749.3958140700217,12.422360248447205,4.1131475294801625,6.369426751592357,20.408163265306122,2972.830818752234,13,92.85714285714286,1,1,1,3,1.0,0.03125,0.0625,0.15625,50.0,50.0
