time,data
0.0375363826751709,220.5148468017578
0.08977556228637695,221.7859649658203
0.13972210884094238,224.04815673828125
0.19060087203979492,223.95306396484375
0.2394263744354248,224.26707458496094
0.29033327102661133,224.4415740966797
0.3391425609588623,223.56704711914062
0.39072608947753906,222.3787841796875
0.43941807746887207,223.42340087890625
0.49067020416259766,225.8585662841797
0.5394952297210693,223.10250854492188
0.5891866683959961,220.5691375732422
0.6403028964996338,223.35076904296875
0.690741777420044,222.91966247558594
0.7393622398376465,222.75827026367188
0.7907285690307617,223.09185791015625
0.8395645618438721,223.55743408203125
0.8905839920043945,224.36996459960938
0.939359188079834,225.45262145996094
0.9907228946685791,226.4750213623047
1.0393805503845215,227.58302307128906
1.090744972229004,228.03756713867188
1.1395068168640137,229.75595092773438
1.1907062530517578,231.1752471923828
1.2394568920135498,228.2702178955078
1.2907342910766602,230.114990234375
1.3394603729248047,228.6029052734375
1.3907089233398438,229.4968719482422
1.4394121170043945,230.720458984375
1.4907104969024658,233.3618621826172
1.5394642353057861,235.10935974121094
1.590430736541748,232.8094024658203
1.6394200325012207,230.1597900390625
1.6904780864715576,232.6908416748047
1.7394320964813232,231.5574188232422
1.7906150817871094,231.94288635253906
1.8393466472625732,232.32777404785156
1.890639066696167,233.99176025390625
1.9392974376678467,235.94105529785156
1.9908852577209473,238.95120239257812
2.039508819580078,236.4831085205078
2.090702772140503,234.82318115234375
2.1394312381744385,236.25442504882812
2.1907079219818115,239.37265014648438
2.24059796333313,239.531494140625
2.2907447814941406,242.117919921875
2.3392205238342285,244.96534729003906
2.390692949295044,245.86965942382812
2.4393861293792725,244.20545959472656
2.4907612800598145,244.63938903808594
2.5394396781921387,244.0836944580078
2.5903382301330566,245.95555114746094
2.639448642730713,245.47914123535156
2.691101551055908,245.4179229736328
2.7396962642669678,243.31224060058594
2.790672779083252,243.50892639160156
2.8394882678985596,241.99888610839844
2.8906354904174805,243.9980010986328
2.939335584640503,246.5106658935547
2.9907360076904297,249.02685546875
3.039341926574707,251.62933349609375
3.090756893157959,254.2600555419922
3.1397926807403564,256.333251953125
3.1906960010528564,257.08209228515625
3.2394442558288574,258.4795837402344
3.2907326221466064,256.932373046875
3.339428663253784,254.68304443359375
3.390734910964966,251.90069580078125
3.4394378662109375,249.17628479003906
3.4904234409332275,249.73074340820312
3.539494752883911,246.7053985595703
3.5907132625579834,247.30812072753906
3.6395111083984375,250.38299560546875
3.6907551288604736,249.84115600585938
3.739699602127075,252.2211151123047
3.7906570434570312,251.5349578857422
3.8399577140808105,253.96981811523438
3.890660524368286,256.943359375
3.9399473667144775,256.847412109375
3.9908993244171143,259.02691650390625
4.039684534072876,259.8052673339844
4.090410947799683,261.46807861328125
4.139719724655151,263.5226135253906
4.190725803375244,262.25885009765625
4.239488124847412,262.2257385253906
4.2907555103302,265.1968688964844
4.339446306228638,264.4011535644531
4.3907270431518555,263.9313659667969
4.439440965652466,263.88372802734375
4.490764141082764,266.14794921875
4.5399274826049805,266.8357238769531
4.590730905532837,267.6159362792969
4.640092849731445,265.9895324707031
4.690430641174316,268.9518737792969
4.739686965942383,266.13458251953125
4.790717124938965,265.5157775878906
4.839462995529175,266.3863525390625
4.89075493812561,263.46551513671875
4.939436435699463,264.1277770996094
4.990410327911377,264.2364196777344
5.039516925811768,263.1363220214844
5.0904295444488525,263.9736633300781
5.139267444610596,266.28759765625
5.190739631652832,267.71014404296875
5.239439487457275,269.62933349609375
5.290738344192505,268.6564025878906
5.339436054229736,268.9345397949219
5.391176223754883,269.3794860839844
5.439361810684204,267.5743103027344
5.491201400756836,269.1596984863281
5.53999400138855,269.26312255859375
5.590744972229004,269.62542724609375
5.639464855194092,268.15728759765625
5.690697431564331,268.7674865722656
5.739462852478027,267.12127685546875
5.790750026702881,267.42315673828125
5.839484691619873,268.6938171386719
5.89079213142395,267.36309814453125
5.939706563949585,268.06292724609375
5.990729570388794,269.11907958984375
6.039631128311157,269.4031982421875
6.089951515197754,269.4701232910156
6.139425039291382,268.059326171875
6.190712928771973,268.3747253417969
6.240002632141113,267.0767517089844
6.290720701217651,265.96746826171875
6.339464902877808,267.6181640625
6.3907294273376465,267.22296142578125
6.439283847808838,268.7713623046875
6.491270542144775,268.7850341796875
6.53968071937561,268.28765869140625
6.590749979019165,269.0338134765625
6.6396284103393555,269.3492126464844
6.690739154815674,269.0384521484375
6.739704370498657,269.1392517089844
6.791137456893921,268.6581726074219
6.840070724487305,268.5196838378906
6.890802383422852,268.73614501953125
6.939643859863281,268.8997802734375
6.9907896518707275,268.487548828125
7.0394322872161865,268.7519836425781
7.088277339935303,268.45489501953125
7.141320705413818,268.6253967285156
7.190709829330444,268.7418212890625
7.239593029022217,268.49554443359375
7.291177988052368,268.3081359863281
7.339713096618652,269.1798400878906
7.391240358352661,268.4568786621094
7.439633846282959,268.701416015625
7.491197824478149,271.4684143066406
7.539658308029175,269.5796203613281
7.591188669204712,268.9255676269531
7.6395392417907715,268.6022644042969
7.691258907318115,266.9158630371094
7.7392942905426025,268.0290222167969
7.790738344192505,269.1650695800781
7.839653968811035,268.406982421875
7.891184329986572,269.401611328125
7.939659833908081,268.8222351074219
7.990710973739624,267.9105224609375
8.039515256881714,268.46710205078125
8.090781450271606,268.6693420410156
8.139739990234375,268.3682861328125
8.191250085830688,268.5267028808594
8.239460706710815,268.4516296386719
8.291165590286255,270.0491638183594
8.33946681022644,270.3252258300781
