Time_HR,HR,Mean_RR,STD_RR,Mean_HR,STD_HR,Min_HR,Max_HR,RMSSD,NNxx,pNNxx,Power_VLF,Power_LF,Power_HF,Power_Total,LF_by_HF,Peak_VLF,Peak_LF,Peak_HF,Fraction_LF,Fraction_HF
60.0,70.0,1034.7826086956522,29.911273961817535,57.98319327731092,16.215607138479836,32.25806451612903,100.0,47.03628136562118,63,9.130434782608695,1,1,1,3,1.0,0.03125,0.046875,0.234375,50.0,50.0
75.0,77.0,934.7368421052631,19.714724449274033,64.1891891891892,15.109581352183293,43.47826086956522,111.11111111111111,28.565713714171398,61,8.026315789473683,1,1,1,3,1.0,0.015625,0.0625,0.25,50.0,50.0
90.0,72.0,985.3521126760563,27.773647955031294,60.891938250428815,17.503377911956942,32.25806451612903,111.11111111111111,44.59532326537007,66,9.295774647887324,1,1,1,3,1.0,0.03125,0.078125,0.25,50.0,50.0
105.0,81.0,888.0,18.69652374105946,67.56756756756756,15.994770412575605,43.47826086956522,111.11111111111111,28.30395597881386,67,8.375,1,1,1,3,1.0,0.015625,0.078125,0.1875,50.0,50.0
120.0,75.0,964.0540540540541,24.567567567567565,62.23717409587889,18.092637770731244,32.25806451612903,111.11111111111111,42.92331486388382,70,9.45945945945946,1,1,1,3,1.0,0.03125,0.0625,0.34375,50.0,50.0
135.0,79.0,909.2307692307693,19.07258015082038,65.98984771573603,15.38468513174803,43.47826086956522,111.11111111111111,28.937011755719517,67,8.58974358974359,1,1,1,3,1.0,0.015625,0.140625,0.375,50.0,50.0
150.0,68.0,1060.2985074626865,32.309127285457166,56.58783783783784,17.078738002856625,32.25806451612903,111.11111111111111,50.1398045468867,61,9.104477611940299,1,1,1,3,1.0,0.015625,0.046875,0.234375,50.0,50.0
165.0,76.0,951.2,22.507456542221735,63.07821698906644,14.57643713046988,41.666666666666664,111.11111111111111,33.13608305156178,71,9.466666666666667,1,1,1,3,1.0,0.015625,0.09375,0.21875,50.0,50.0
180.0,62.0,1157.704918032787,39.9821244659074,51.82667799490229,17.992163046258163,32.25806451612903,111.11111111111111,62.05481447881381,54,8.852459016393443,1,1,1,3,1.0,0.0,0.109375,0.21875,50.0,50.0
195.0,74.0,973.1506849315068,24.046118196868584,61.65540540540541,14.178915192146619,32.25806451612903,100.0,31.88259713385972,61,8.356164383561644,1,1,1,3,1.0,0.015625,0.125,0.21875,50.0,50.0
210.0,65.0,1110.0,37.93250584920538,54.054054054054056,18.330303942062553,32.25806451612903,111.11111111111111,58.52472005181107,55,8.59375,1,1,1,3,1.0,0.03125,0.09375,0.21875,50.0,50.0
225.0,74.0,973.1506849315068,19.18680819096685,61.65540540540541,12.312363754175907,40.0,100.0,27.964262908219126,48,6.575342465753425,1,1,1,3,1.0,0.03125,0.09375,0.21875,50.0,50.0
240.0,68.0,1045.9701492537313,32.637337697564305,57.36301369863014,16.56692638470043,32.25806451612903,111.11111111111111,49.322685173531184,45,6.7164179104477615,1,1,1,3,1.0,0.03125,0.0625,0.296875,50.0,50.0
255.0,73.0,980.8333333333334,20.003992657022803,61.17247238742566,12.620121460568464,41.666666666666664,100.0,28.142494558940577,47,6.527777777777777,1,1,1,3,1.0,0.015625,0.0625,0.15625,50.0,50.0
270.0,73.0,988.3333333333334,27.239167061828862,60.70826306913997,16.30422915571635,32.25806451612903,111.11111111111111,41.08459153955204,54,7.5,1,1,1,3,1.0,0.015625,0.0625,0.203125,50.0,50.0
