Time_HR,HR,Mean_RR,STD_RR,Mean_HR,STD_HR,Min_HR,Max_HR,RMSSD,NNxx,pNNxx,Power_VLF,Power_LF,Power_HF,Power_Total,LF_by_HF,Peak_VLF,Peak_LF,Peak_HF,Fraction_LF,Fraction_HF
60.0,70.0,1034.7826086956522,33.669583183610015,57.98319327731092,21.07485891812089,31.25,111.11111111111111,54.43938885424349,61,8.840579710144928,1,1,1,3,1.0,0.03125,0.046875,0.25,50.0,50.0
75.0,72.0,1001.4084507042254,29.815061783350558,59.915611814345986,23.178101173194133,41.666666666666664,111.11111111111111,53.32916650389353,65,9.154929577464788,1,1,1,3,1.0,0.015625,0.109375,0.375,50.0,50.0
90.0,68.0,1053.134328358209,34.229344552797755,56.972789115646265,21.158858701893834,32.25806451612903,111.11111111111111,54.43762068142348,65,9.701492537313433,1,1,1,3,1.0,0.03125,0.046875,0.203125,50.0,50.0
105.0,71.0,1014.8571428571429,29.87533280490917,59.12162162162162,22.889895816798553,41.666666666666664,111.11111111111111,53.28512313794617,63,9.0,1,1,1,3,1.0,0.03125,0.109375,0.3125,50.0,50.0
120.0,69.0,1044.7058823529412,32.86714369926442,57.43243243243243,19.353507600387907,32.25806451612903,111.11111111111111,51.237812529769656,64,9.411764705882353,1,1,1,3,1.0,0.015625,0.0625,0.28125,50.0,50.0
135.0,73.0,980.0,32.29551052391029,61.224489795918366,26.132117378602896,41.666666666666664,111.11111111111111,59.601493506195084,67,9.305555555555555,1,1,1,3,1.0,0.015625,0.0625,0.234375,50.0,50.0
150.0,69.0,1044.7058823529412,34.301633723841306,57.43243243243243,21.42630008759539,32.25806451612903,111.11111111111111,55.983473040990795,66,9.705882352941178,1,1,1,3,1.0,0.015625,0.109375,0.3125,50.0,50.0
165.0,73.0,980.0,32.0624390837628,61.224489795918366,25.310585945614175,41.666666666666664,111.11111111111111,57.585209368623204,68,9.444444444444445,1,1,1,3,1.0,0.015625,0.125,0.3125,50.0,50.0
180.0,67.0,1061.8181818181818,36.80864073906902,56.50684931506849,21.928667665074528,32.25806451612903,111.11111111111111,59.196153721205704,62,9.393939393939394,1,1,1,3,1.0,0.015625,0.0625,0.234375,50.0,50.0
195.0,73.0,989.1666666666666,33.42144604225789,60.65711878685762,25.96754458569447,41.666666666666664,111.11111111111111,61.130200461398,67,9.305555555555555,1,1,1,3,1.0,0.03125,0.046875,0.21875,50.0,50.0
210.0,70.0,1029.5652173913043,34.22620183791254,58.27702702702703,21.970149694570424,32.25806451612903,111.11111111111111,55.741525338465785,63,9.130434782608695,1,1,1,3,1.0,0.03125,0.078125,0.296875,50.0,50.0
225.0,73.0,986.6666666666666,31.69998247458331,60.810810810810814,25.603991036654143,43.47826086956522,111.11111111111111,59.431105811924525,64,8.88888888888889,1,1,1,3,1.0,0.03125,0.125,0.3125,50.0,50.0
240.0,71.0,1008.0,29.941657555032872,59.523809523809526,20.10713722701519,32.25806451612903,111.11111111111111,48.81375429830871,60,8.571428571428571,1,1,1,3,1.0,0.015625,0.0625,0.234375,50.0,50.0
255.0,72.0,993.8028169014085,28.81429916795425,60.374149659863946,22.837061772265518,41.666666666666664,111.11111111111111,51.66374799743876,58,8.169014084507042,1,1,1,3,1.0,0.03125,0.09375,0.375,50.0,50.0
270.0,71.0,1014.0,30.275591300112183,59.171597633136095,18.802598343578236,32.25806451612903,111.11111111111111,47.70015039626277,53,7.571428571428571,1,1,1,3,1.0,0.03125,0.140625,0.25,50.0,50.0
